Season,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,EV,ERA,FIP,xFIP,WAR
2017,Indians,102,60,37,659,162,1440.2,10.08,2.54,1.02,0.303,77.50%,44.10%,13.00%,87.1,3.3,3.33,3.41,30.4
2011,Phillies,102,60,47,556,162,1477,7.92,2.46,0.73,0.286,77.50%,46.50%,8.30%,,3.02,3.24,3.41,29.5
2018,Astros,103,59,46,672,162,1455,10.44,2.69,0.94,0.283,77.90%,44.00%,11.60%,87.8,3.11,3.23,3.36,29.1
2013,Tigers,93,69,39,590,162,1462.2,8.79,2.84,0.79,0.306,73.70%,45.40%,9.20%,,3.61,3.27,3.43,26.3
2019,Rays,96,66,46,765,162,1474.1,9.9,2.77,1.1,0.29,73.70%,44.10%,13.40%,87.9,3.67,3.65,3.89,25.3
2012,Tigers,88,74,40,582,162,1430.2,8.29,2.76,0.95,0.307,72.70%,43.40%,10.50%,,3.77,3.63,3.74,24.5
2014,Nationals,96,66,45,620,162,1470.2,7.88,2.15,0.67,0.294,74.90%,44.80%,7.50%,,3.03,3.18,3.43,24.3
2018,Yankees,100,62,49,670,162,1456.1,10.1,3.05,1.09,0.3,73.90%,42.90%,12.90%,87.9,3.78,3.63,3.61,24.2
2008,White Sox,89,74,34,626,163,1457.2,7.08,2.84,0.96,0.298,71.00%,45.50%,10.00%,,4.11,4,4.01,24.1
2019,Dodgers,106,56,44,707,162,1445.2,9.46,2.44,1.15,0.271,74.70%,44.90%,14.10%,87.6,3.39,3.73,3.87,24.1
2010,White Sox,88,74,43,569,162,1446.1,7.15,3.05,0.85,0.305,71.50%,44.90%,8.40%,,4.09,3.8,3.94,24
2019,Twins,101,61,50,686,162,1463.1,9,2.78,1.22,0.309,71.80%,41.80%,13.40%,88.4,4.18,4.03,4.27,24
2019,Astros,107,55,47,654,162,1462.1,10.28,2.76,1.42,0.27,76.80%,43.60%,16.70%,88.1,3.66,3.98,3.8,23.7
2016,Nationals,95,67,46,670,162,1459.2,9.1,2.89,0.96,0.288,75.00%,43.30%,10.90%,88.1,3.52,3.58,3.82,23.5
2017,Yankees,91,71,36,639,162,1448.2,9.69,3.13,1.19,0.28,74.50%,46.20%,14.20%,87,3.75,3.88,3.82,23.4
2017,Red Sox,93,69,39,677,162,1482.1,9.59,2.82,1.18,0.303,75.70%,41.00%,12.70%,87.5,3.73,3.78,3.91,23.2
2011,White Sox,79,83,42,572,162,1460,7.52,2.71,0.91,0.303,71.30%,44.20%,9.40%,,4.1,3.66,3.69,23.2
2017,Nationals,97,65,46,649,162,1446.2,9.06,3.08,1.18,0.287,74.40%,44.00%,12.80%,86.8,3.88,3.99,4.12,23
2008,Diamondbacks,82,80,39,606,162,1434.2,7.71,2.83,0.92,0.297,70.90%,45.30%,9.90%,,3.99,3.84,3.87,22.9
2015,Cubs,97,65,48,714,162,1461.1,8.81,2.51,0.83,0.287,72.70%,46.60%,10.70%,87.9,3.36,3.3,3.37,22.9
2017,Diamondbacks,93,69,43,675,162,1441,9.26,3.22,1.07,0.294,74.20%,48.10%,13.10%,87.9,3.67,3.8,3.86,22.9
2007,Padres,89,74,45,648,163,1484.2,6.89,2.87,0.72,0.287,71.60%,45.80%,7.40%,,3.72,3.81,4.13,22.7
2008,Blue Jays,86,76,44,583,162,1446.2,7.37,2.91,0.83,0.284,74.80%,46.60%,9.30%,,3.49,3.81,3.92,22.3
2019,Nationals,93,69,40,692,162,1439.1,9.45,3.23,1.26,0.296,73.00%,42.60%,13.90%,88.6,4.28,4.14,4.32,22.3
2012,Rangers,93,69,43,590,162,1442,8.03,2.78,1.09,0.292,71.50%,43.90%,11.60%,,4.02,3.9,3.86,22.2
2015,Nationals,83,79,41,630,162,1434.2,8.42,2.28,0.91,0.3,72.70%,44.70%,10.30%,87.6,3.62,3.45,3.58,22.2
2018,Indians,91,71,41,670,162,1457.1,9.54,2.51,1.24,0.298,76.00%,42.50%,13.70%,88.3,3.77,3.79,3.66,22.1
2019,Indians,93,69,42,684,162,1437.2,9.44,2.82,1.3,0.291,76.00%,39.70%,13.60%,88.6,3.79,4.06,4.3,21.9
2017,Dodgers,104,58,51,698,162,1444.2,9.65,2.75,1.15,0.281,77.80%,42.70%,13.40%,86.3,3.38,3.67,3.7,21.7
2010,Rockies,83,79,35,675,162,1442,7.7,3.28,0.87,0.302,70.80%,46.50%,9.60%,,4.14,3.83,3.8,21.6
2016,Mets,87,75,55,700,162,1447,8.68,2.73,0.95,0.308,75.60%,44.20%,11.10%,88.6,3.58,3.57,3.78,21.5
2006,Angels,89,73,50,542,162,1452.2,7.21,2.92,0.98,0.291,70.10%,42.30%,9.20%,,4.04,4.03,4.28,21.3
2013,Rangers,91,72,46,638,163,1463.1,8.05,3.06,0.97,0.293,75.50%,42.80%,10.70%,,3.63,3.77,3.75,21.2
2015,Indians,81,80,38,637,161,1432.2,8.84,2.67,1.01,0.288,72.80%,44.50%,11.70%,88.5,3.68,3.62,3.57,21.1
2009,Rockies,92,70,45,646,162,1438.1,7.22,3.3,0.88,0.299,71.30%,47.30%,9.90%,,4.24,3.96,3.99,21
2012,Dodgers,86,76,40,668,162,1449.2,7.92,3.35,0.76,0.283,74.80%,45.50%,8.90%,,3.35,3.64,3.93,20.8
2013,Dodgers,92,70,46,666,162,1450.1,8.02,2.85,0.79,0.291,75.40%,47.10%,9.90%,,3.25,3.45,3.52,20.6
2008,Cubs,97,64,44,639,161,1450.2,7.84,3.4,0.99,0.281,74.00%,41.60%,9.80%,,3.87,4.09,4.14,20.6
2006,Twins,96,66,40,583,162,1439.1,7.28,2.23,1.14,0.302,73.70%,43.70%,11.30%,,3.95,3.99,3.93,20.6
2015,Cardinals,100,62,62,677,162,1464.2,8.17,2.93,0.76,0.297,79.40%,48.00%,9.40%,87.9,2.94,3.48,3.71,20.6
2014,Cubs,73,89,37,699,162,1463.1,8.06,3.1,0.71,0.304,69.60%,44.00%,8.00%,,3.92,3.51,3.7,20.5
2007,Indians,96,66,49,557,162,1462.2,6.44,2.52,0.9,0.302,71.90%,45.30%,8.70%,,4.05,4.06,4.21,20.5
2012,Rays,90,72,50,634,162,1459.2,8.53,2.89,0.86,0.277,75.50%,47.90%,10.70%,,3.19,3.51,3.59,20.4
2019,Mets,86,76,38,664,162,1461,9.36,3.08,1.26,0.304,73.10%,43.40%,13.90%,87.6,4.25,4.1,4.29,20.4
2014,Indians,85,77,40,735,162,1468.1,8.89,2.84,0.83,0.309,73.20%,46.70%,10.00%,,3.57,3.42,3.36,20.3
2009,White Sox,79,83,36,577,162,1439.2,7,3.17,1.06,0.294,71.70%,44.30%,10.30%,,4.16,4.21,4.19,20.2
2007,Angels,94,68,43,558,162,1435,7.25,2.99,0.95,0.307,71.10%,42.20%,8.60%,,4.23,4.1,4.26,20
2016,Dodgers,91,71,47,768,162,1453,9.35,2.87,1.02,0.288,73.80%,42.80%,11.70%,87.3,3.7,3.61,3.75,20
2008,Dodgers,84,78,35,623,162,1447.1,7.49,2.98,0.76,0.295,72.60%,49.60%,9.30%,,3.68,3.67,3.77,20
2011,Dodgers,82,79,40,622,161,1432,7.95,3.19,0.83,0.285,74.10%,42.80%,8.80%,,3.56,3.61,3.72,20
2007,Dodgers,82,80,43,645,162,1450,7.35,3.22,0.91,0.301,70.90%,45.50%,9.60%,,4.2,4.07,4.07,20
2012,Phillies,81,81,42,602,162,1451.1,8.59,2.54,1.1,0.298,72.90%,43.50%,12.10%,,3.86,3.72,3.61,19.8
2006,Dodgers,88,74,40,616,162,1460.1,6.58,3.03,0.94,0.302,70.80%,47.80%,9.70%,,4.23,4.13,4.29,19.7
2015,Dodgers,92,70,47,677,162,1445.2,8.69,2.46,0.9,0.296,74.70%,50.10%,12.10%,87.4,3.46,3.41,3.33,19.7
2009,Giants,88,74,41,619,162,1446,8.1,3.63,0.87,0.279,75.50%,43.00%,9.10%,,3.55,3.85,3.99,19.7
2014,Tigers,90,72,41,635,162,1454,7.7,2.86,0.79,0.312,70.70%,44.20%,8.30%,,4.01,3.6,3.76,19.7
2009,Braves,86,76,38,650,162,1462.2,7.58,3.26,0.73,0.299,73.80%,46.40%,8.10%,,3.57,3.66,3.91,19.7
2014,Dodgers,94,68,47,658,162,1464.2,8.44,2.64,0.87,0.292,74.00%,47.80%,10.80%,,3.4,3.48,3.33,19.5
2012,Athletics,94,68,47,624,162,1470,6.96,2.83,0.9,0.279,75.40%,41.70%,9.10%,,3.5,3.89,4.2,19.5
2015,Pirates,98,64,54,662,162,1489.2,8.08,2.74,0.66,0.302,75.00%,50.40%,9.40%,87.9,3.23,3.36,3.56,19.5
2008,Rockies,74,88,36,647,162,1446,6.48,3.5,0.92,0.309,68.50%,46.80%,10.00%,,4.77,4.3,4.32,19.5
2012,Nationals,98,64,51,644,162,1468.1,8.12,3.05,0.79,0.282,75.10%,46.30%,9.20%,,3.34,3.54,3.8,19.5
2010,Rangers,90,72,46,643,162,1455.1,7.3,3.41,1,0.28,73.60%,41.50%,9.30%,,3.93,4.17,4.19,19.3
2009,Yankees,103,59,51,623,162,1450,7.82,3.56,1.12,0.29,71.90%,42.30%,11.10%,,4.28,4.32,4.17,19.3
2006,White Sox,90,72,46,560,162,1449,6.29,2.69,1.24,0.295,70.50%,42.90%,11.20%,,4.61,4.56,4.5,19.2
2018,Phillies,80,82,44,758,162,1445.2,9.12,3.11,1.06,0.303,71.00%,45.40%,12.40%,88,4.15,3.83,3.87,19.2
2011,Rangers,96,66,38,579,162,1441.1,7.36,2.88,1.06,0.278,72.50%,42.60%,10.70%,,3.79,3.98,3.83,19.2
2006,Astros,82,80,42,659,162,1468.2,7.11,2.94,1.12,0.286,72.80%,45.20%,11.60%,,4.09,4.27,4.16,19.2
2008,Rays,97,65,52,610,162,1457.2,7.06,3.25,1.02,0.277,74.00%,40.80%,9.30%,,3.82,4.22,4.35,19.2
2017,Astros,101,61,45,681,162,1446,9.91,3.25,1.2,0.3,73.70%,47.30%,14.90%,86.8,4.12,3.91,3.77,19
2006,Diamondbacks,76,86,34,623,162,1459.2,6.87,3.3,1.04,0.299,70.40%,46.80%,11.10%,,4.49,4.34,4.3,19
2015,Mets,90,72,50,647,162,1462.2,8.23,2.36,0.94,0.288,74.30%,46.30%,10.80%,87.7,3.45,3.53,3.6,19
2015,Astros,86,76,39,644,162,1441,7.99,2.64,0.92,0.285,73.80%,47.30%,10.90%,87.2,3.57,3.66,3.71,18.9
2016,Cubs,103,58,38,665,162,1459.2,8.88,3.05,1.01,0.255,77.50%,46.90%,13.10%,88.3,3.15,3.77,3.74,18.8
2007,Brewers,83,79,49,654,162,1444.1,7.32,3.16,1,0.308,70.20%,41.50%,9.20%,,4.44,4.22,4.29,18.8
2016,Red Sox,93,69,43,625,162,1439.2,8.51,3.06,1.1,0.293,72.90%,41.50%,11.40%,88.1,4,4,4.2,18.8
2019,Athletics,97,65,45,709,162,1465,7.98,2.93,1.23,0.278,75.10%,41.50%,12.60%,88.4,3.97,4.34,4.72,18.8
2012,Reds,97,65,56,587,162,1453,7.73,2.64,0.94,0.288,76.90%,45.90%,10.70%,,3.34,3.72,3.8,18.7
2016,Yankees,84,78,48,645,162,1428.1,8.78,2.8,1.35,0.292,74.20%,46.90%,15.50%,88.5,4.16,4.2,3.86,18.7
2019,Reds,75,87,46,697,162,1438,9.71,3.35,1.34,0.286,73.70%,44.30%,16.40%,88.2,4.18,4.23,4.1,18.6
2017,Rockies,87,75,47,711,162,1437.2,7.95,3.33,1.19,0.305,72.20%,48.50%,14.20%,86.9,4.51,4.32,4.26,18.6
2018,Dodgers,92,71,48,756,163,1476,9.54,2.57,1.09,0.284,76.20%,44.90%,13.40%,87.6,3.4,3.6,3.52,18.6
2009,Dodgers,95,67,44,688,162,1473.1,7.77,3.57,0.78,0.275,74.90%,43.70%,8.10%,,3.41,3.8,4.07,18.6
2014,Braves,79,83,54,634,162,1455,8.05,2.92,0.75,0.3,75.00%,42.70%,8.30%,,3.38,3.47,3.63,18.6
2006,Tigers,95,67,46,552,162,1448,6.23,3.04,0.99,0.284,74.10%,45.50%,10.00%,,3.85,4.32,4.43,18.5
2009,Cubs,83,78,40,641,161,1445.1,7.92,3.65,1,0.285,74.40%,42.80%,10.00%,,3.84,4.11,4.14,18.5
2016,Tigers,86,75,47,637,161,1428,7.76,2.91,1.15,0.3,72.20%,44.50%,11.70%,88.4,4.24,4.16,4.31,18.5
2009,Red Sox,95,67,41,625,162,1436.2,7.71,3.32,1.05,0.309,73.00%,40.90%,9.40%,,4.35,4.14,4.25,18.5
2015,Yankees,87,75,48,659,162,1457.2,8.46,2.93,1.12,0.3,73.80%,47.00%,13.60%,88.2,4.03,3.97,3.7,18.4
2010,Giants,92,70,57,638,162,1461,8.2,3.56,0.83,0.282,77.00%,42.00%,8.00%,,3.36,3.74,3.94,18.4
2007,Red Sox,96,66,45,613,162,1438.2,7.19,3.02,0.94,0.284,73.50%,42.60%,8.70%,,3.87,4.14,4.28,18.4
2008,Red Sox,95,67,47,628,162,1446.1,7.37,3.41,0.91,0.289,72.60%,43.50%,9.20%,,4.01,4.09,4.23,18.4
2018,Red Sox,108,54,46,697,162,1458.2,9.61,3.16,1.09,0.294,75.80%,42.40%,11.90%,88.5,3.75,3.82,3.92,18.3
2016,Indians,94,67,37,665,161,1445,8.71,2.87,1.16,0.289,73.40%,46.70%,13.70%,88.6,3.86,3.91,3.8,18.2
2019,Yankees,103,59,50,707,162,1443,9.57,3.16,1.55,0.296,75.20%,42.40%,16.80%,88.7,4.31,4.47,4.27,18.2
2013,Mets,74,88,40,697,162,1476.2,7.37,2.79,0.93,0.295,72.90%,44.50%,10.00%,,3.78,3.79,3.86,18.1
2013,Reds,90,72,43,623,162,1473.2,7.91,2.66,1.04,0.273,77.50%,44.10%,11.50%,,3.38,3.81,3.68,18
2009,Athletics,75,87,38,650,162,1447.1,6.99,3.25,0.97,0.302,70.30%,44.10%,9.20%,,4.29,4.1,4.24,18
2010,Tigers,81,81,32,578,162,1444.1,6.58,3.35,0.88,0.296,70.60%,43.80%,8.30%,,4.29,4.14,4.31,18
2011,Athletics,74,88,39,622,162,1447.2,7.21,3.23,0.85,0.289,72.10%,44.10%,8.50%,,3.71,3.8,3.98,18
2013,Braves,96,66,53,628,162,1450.1,7.65,2.54,0.79,0.288,77.00%,45.80%,9.40%,,3.18,3.44,3.58,17.9
2018,Mets,77,85,41,663,162,1460.2,8.91,2.98,1.14,0.295,73.00%,42.10%,12.20%,87.7,4.07,3.97,4.03,17.7
2007,Cubs,85,77,39,640,162,1446.2,7.53,3.56,1.03,0.281,73.60%,41.30%,9.60%,,4.04,4.36,4.36,17.7
2011,Indians,80,82,38,645,162,1453.1,6.34,2.87,0.95,0.293,69.50%,45.40%,9.50%,,4.24,4.06,4.09,17.7
2012,Mariners,75,87,43,613,162,1456.2,7.2,2.77,1.03,0.282,74.20%,42.90%,10.60%,,3.76,4,4.09,17.6
2016,Astros,84,78,44,662,162,1468,8.56,2.78,1.11,0.306,73.40%,45.20%,12.60%,88.1,4.06,3.85,3.87,17.6
2009,Cardinals,91,71,43,643,162,1440.2,6.55,2.87,0.77,0.292,73.20%,49.80%,8.70%,,3.66,3.82,4,17.5
2014,Yankees,84,78,48,637,162,1453,8.49,2.47,1.02,0.298,73.30%,43.70%,11.30%,,3.75,3.67,3.43,17.5
2007,Blue Jays,83,79,44,582,162,1448.2,6.63,2.98,0.98,0.282,71.80%,48.70%,10.60%,,4,4.28,4.15,17.5
2018,Rays,90,72,52,715,162,1448.1,8.83,3.11,1.02,0.278,73.30%,43.90%,11.50%,88.3,3.75,3.82,3.98,17.5
2009,Mariners,85,77,49,572,162,1452.2,6.46,3.31,1.07,0.272,73.40%,41.20%,9.70%,,3.87,4.39,4.46,17.5
2013,Royals,86,76,52,589,162,1448.1,7.51,2.91,0.96,0.29,76.90%,41.80%,10.00%,,3.45,3.83,3.9,17.5
2008,Angels,100,62,66,545,162,1451.1,6.86,2.83,0.99,0.296,73.00%,44.30%,9.80%,,4,4.12,4.17,17.5
2015,White Sox,76,86,37,576,162,1452.2,8.42,2.94,1,0.311,72.90%,45.20%,11.40%,87.6,3.98,3.82,3.81,17.4
2014,Athletics,88,74,31,603,162,1463.1,7.65,2.5,0.9,0.272,75.90%,45.60%,10.00%,,3.22,3.67,3.6,17.4
2011,Mariners,67,95,39,513,162,1433,6.83,2.74,0.91,0.285,71.40%,43.80%,9.10%,,3.91,3.84,3.92,17.4
2011,Yankees,97,65,47,627,162,1458.1,7.54,3.13,0.94,0.297,75.00%,44.20%,9.90%,,3.73,3.87,3.84,17.3
2018,Rockies,91,72,51,681,163,1452.1,8.73,3.25,1.14,0.299,71.30%,45.20%,13.50%,88.5,4.33,4.06,3.96,17.3
2011,Giants,86,76,52,642,162,1468,8.07,3.43,0.59,0.283,74.40%,46.40%,6.90%,,3.21,3.33,3.66,17.3
2006,Rockies,76,86,34,661,162,1447.1,5.92,3.44,0.96,0.304,69.50%,45.70%,9.60%,,4.66,4.51,4.68,17.3
2013,Cardinals,97,65,44,645,162,1459.2,7.73,2.78,0.69,0.297,74.50%,48.50%,8.50%,,3.43,3.39,3.63,17.3
2010,Twins,94,68,40,627,162,1452.2,6.49,2.37,0.96,0.299,73.40%,44.70%,9.20%,,3.95,3.91,3.93,17.3
2006,Yankees,97,65,43,651,162,1443.2,6.35,3.09,1.06,0.289,70.30%,43.30%,9.60%,,4.43,4.42,4.61,17.3
2013,Nationals,86,76,47,602,162,1445.2,7.69,2.52,0.88,0.291,73.60%,45.00%,9.80%,,3.59,3.55,3.64,17.3
2007,White Sox,72,90,42,625,162,1440.2,6.34,3.12,1.09,0.304,68.20%,42.90%,9.80%,,4.77,4.56,4.54,17.2
2014,Royals,89,73,53,613,162,1450.2,7.25,2.73,0.79,0.292,73.90%,43.10%,8.20%,,3.51,3.69,3.88,17.2
2006,Athletics,93,69,54,606,162,1451.2,6.22,3.28,1,0.301,73.40%,42.60%,9.20%,,4.22,4.42,4.67,17.2
2016,White Sox,78,84,43,643,162,1446.2,7.9,3.24,1.15,0.298,74.00%,43.10%,12.00%,88.4,4.12,4.27,4.38,17.1
2017,Brewers,86,76,54,712,162,1445.2,8.38,3.44,1.15,0.298,74.80%,45.70%,13.50%,86.2,4,4.24,4.26,17.1
2007,Athletics,76,86,36,608,162,1448,6.44,3.29,0.86,0.296,69.40%,44.80%,8.30%,,4.3,4.23,4.44,17
2012,Yankees,95,67,51,647,162,1445.1,8.21,2.68,1.18,0.296,75.10%,44.90%,13.00%,,3.85,3.98,3.75,17
2019,Cubs,84,78,38,738,162,1442,9.01,3.33,1.22,0.3,74.10%,45.90%,15.00%,88.7,4.1,4.25,4.29,17
2009,Tigers,86,77,42,602,163,1447,6.85,3.69,1.13,0.293,73.20%,42.70%,10.60%,,4.34,4.53,4.45,17
2008,Yankees,89,73,42,637,162,1441.2,7.12,3.05,0.89,0.307,71.00%,45.70%,9.30%,,4.28,3.96,4.08,16.9
2010,Dodgers,80,82,41,637,162,1441.2,7.95,3.36,0.84,0.287,70.90%,44.60%,8.60%,,4.01,3.76,3.87,16.8
2016,Blue Jays,89,73,43,649,162,1459.1,8.1,2.84,1.13,0.282,74.40%,46.60%,13.00%,89,3.79,4.04,4.02,16.8
2017,Cubs,92,70,38,693,162,1447.1,8.95,3.44,1.21,0.285,74.20%,46.20%,14.50%,86.7,3.95,4.2,4.1,16.8
2011,Rays,91,71,32,600,162,1449,7.1,3.13,1,0.265,75.50%,42.10%,9.80%,,3.58,4.03,4.01,16.8
2013,Pirates,94,68,55,627,162,1470.2,7.72,3.15,0.62,0.285,75.00%,52.50%,8.90%,,3.27,3.42,3.58,16.8
2013,Indians,92,70,38,702,162,1441.1,8.61,3.46,0.92,0.302,74.20%,44.50%,10.70%,,3.82,3.73,3.71,16.8
2011,Brewers,96,66,47,596,162,1441.2,7.85,2.75,0.92,0.288,73.20%,44.70%,9.70%,,3.64,3.59,3.58,16.8
2018,Nationals,82,80,40,724,162,1446,8.82,3.03,1.23,0.287,74.80%,41.20%,12.80%,87.9,4.04,4.15,4.13,16.7
2014,Marlins,77,85,42,649,162,1457.2,7.35,2.83,0.7,0.31,71.90%,46.90%,8.00%,,3.79,3.56,3.75,16.7
2008,Royals,75,87,44,601,162,1445.2,6.75,3.21,0.99,0.298,69.10%,41.90%,9.20%,,4.5,4.21,4.36,16.7
2011,Tigers,95,67,52,583,162,1440,6.97,3.08,0.93,0.292,71.10%,44.50%,9.30%,,4.04,3.96,4,16.7
2010,Phillies,97,65,40,613,162,1456.1,7.31,2.57,1.04,0.289,75.30%,46.50%,10.60%,,3.68,3.93,3.75,16.6
2013,Athletics,96,66,46,609,162,1452,7.33,2.65,1.01,0.276,74.80%,39.50%,9.20%,,3.56,3.83,4.05,16.6
2014,Phillies,73,89,40,623,162,1468.1,7.69,3.19,0.82,0.295,72.20%,46.40%,9.40%,,3.81,3.81,3.83,16.6
2017,Pirates,75,87,36,664,162,1440.2,7.88,3.19,1.14,0.306,73.20%,45.20%,12.90%,87.1,4.23,4.23,4.33,16.6
